Name                 	Level	Lines count	Functions count
.                    	1	10456	538
calendar             	2	87	4
camunda_connect      	2	416	18
chatgpt_connect      	2	301	13
config_main          	2	164	13
constants            	2	16	0
contextmain          	2	71	4
docs                 	2	0	0
email                	2	399	15
email_imap           	2	612	22
fiber_connect        	2	162	11
folders              	2	136	3
kafka_connect        	2	233	13
liveness             	2	92	4
log                  	2	329	58
logger               	2	441	3
micro                	2	1366	106
minio_connect        	2	524	25
mssql_connect        	2	349	16
mssql_func           	2	29	2
mssql_gorm           	2	405	18
mssql_stek           	2	173	5
nats_connect         	2	238	14
nats_liveness        	2	260	12
store                	3	0	0
NIKITIN.db           	4	0	0
NIKITIN_TEST.db      	4	0	0
nikitin_text.db      	4	0	0
port_checker         	2	67	3
postgres_connect     	2	391	16
postgres_func        	2	48	4
postgres_gorm        	2	647	26
postgres_pgx         	2	460	22
postgres_stek        	2	454	19
stopapp              	2	180	8
sync_exchange_connect	2	132	9
store                	3	0	0
test_nikitin.db      	4	0	0
telegram_client      	2	864	35
test                 	2	0	0
whatsapp_connect     	2	410	17
